,Unnamed: 0,参加人数,费用,live评分,喜欢数,回答数,介绍字数
count,198.0,194.0,198.0,0.0,198.0,0.0,198.0
mean,98.5,236.402061856,26.7070707071,,199.858585859,,531.186868687
std,57.3018324314,453.531146363,42.6925622751,,271.477271304,,181.06447916
min,0.0,1.0,4.0,,1.0,,156.0
25%,49.25,34.25,9.0,,43.25,,393.75
50%,98.5,87.0,19.0,,102.0,,513.5
75%,147.75,266.0,29.0,,237.0,,644.75
max,197.0,3942.0,399.0,,1908.0,,1158.0
