live名称,主讲者,链接,开始时间,参加人数,介绍,费用,个人主页链接,live评分,喜欢数,回答数
书法入门的正确途径,包景洲,https://www.zhihu.com/lives/812002493801304064,2017-02-25 15:00:00,40,"我是包景洲，书法讲师，以欧体楷书见长，在大学及中书协考级中心教授书法课程，为学生们讲解书法理论知识，演示书写技巧。学生们给我课程的评价是：新颖、细致、精彩、透彻。他们当中的很多都已经成长为书法教师。都说书法的基本功不好练，其实细分到结构、笔画、笔法就容易了。只要方法正确，相信每个人都能写出一手漂亮的书法，写字成为你最快乐的事。

一手漂亮书法的养成记，我们学习书法，可能会遇到这些困惑：手机电脑这么发达了，我们是不是还要学习书法？颜柳欧赵，到底哪一种字体适合初学者？市面上的字帖那么多，应该怎么选择？临帖练习了很久，但依然写不好怎么办？在本 Live 中，我会带领大家进入神奇的书法世界，由浅入深来体验书法学习的美妙。从书写前的准备开始，到如何选择适合自己的字帖，从点横竖折撇捺的笔画变化，到提按捻转顿挫的笔法细节，理论和实践一以贯通，把汉字书写中隐藏的秘密抽丝剥茧展现在大家面前。

本次 Live 主要包括以下内容：

＊ 愉快的写字还是痛苦的练习，书法学习的心理准备。

＊ 笔墨纸砚是越贵越好么，如何只要对的不要贵的？

＊ 毛笔选择羊毫还是狼毫，如何选择一支称心又称手的毛笔？

＊ 自己研磨还是用墨汁，为什么写字前要往墨里兑水？

＊ 颜柳欧赵，哪一个字体才是最适合自己学习的？

＊ 书店里字帖这么多，还有名家书写的各种版本，应该选择哪本字帖作为临习的范本？",19RMB,https://www.zhihu.com/people/baojingzhou,0,149,0
陈氏太极拳侧面裆部缠丝,独孤逸风,https://www.zhihu.com/lives/813005867887783936,2017-02-25 19:30:00,12,"我是独孤逸风，一个练太极拳的交通博士，以科学严谨的学术态度对待传统武术中的瑰宝：太极拳。自幼习武， 1996 年开始练太极拳，陈氏太极拳 13 年习拳经历。目前中国武术六段，徐州陈氏太极拳研究会理事长，徐州中华太极拳馆馆长。同时也是知乎太极拳话题下的活跃回答者，已经举办过陈氏太极拳裆部缠丝 Live 讲座，并在专栏公开了正面裆部缠丝的教学视频，感谢大家继续支持我的 Live 课程。

本次 Live 我将讲解陈氏太极拳侧面裆部缠丝的动作要领和典型用法，并对正面缠丝和侧面缠丝做小结。对很多陈氏太极拳爱好者和对陈氏太极拳感兴趣的人提供有价值的可操作的技术指导。

本次 Live 主要包括以下内容：

＊ 侧面裆部缠丝动作要领

＊ 侧面双手缠丝动作要领

＊ 侧面双手缠丝典型动作演示

＊ 正面缠丝和侧面缠丝组合典型动作演示

＊ 陈氏太极拳缠丝功法答疑

＊ 回顾与小结",39RMB,https://www.zhihu.com/people/lhgdxx,0,14,0
60 分钟学会 Lr 修图基础,Thomas看看世界,https://www.zhihu.com/lives/812412378581995520,2017-02-25 19:50:00,175,"我是 Thomas 看看世界，小米、携程签约摄影师，尼康中国供稿人，英国皇家摄影学会会士。我擅长旅行摄影和后期教学，作品曾两次入围美国国家地理年度摄影大赛提名， 40 余篇摄影教程在各大网站媒体上，累计阅读量超过了千万。

本次 Live ，我将在 60 分钟的时间内，教会大家如何使用 Lightroom 软件管理照片、去除雾霾、以及进行基本的明暗色彩调整。 Live 结束后，我会分享２个练习文件，以及它们的处理视频，让大家从实践中真正掌握基础的 Lr 后期处理流程。

本次 Live 主要包括以下内容：

＊ Lightroom 软件及修图流程介绍

＊ 如何使用 Lightroom 导入及管理照片

＊ 镜头及透视校正、相机选项

＊ 后期去雾霾

＊ 色温、色调、饱和度

＊ 直方图与明暗控制

＊ 降噪和锐化

＊ 输出图片需要注意的地方

＊ 练习文件 ＋ 处理视频",29RMB,https://www.zhihu.com/people/thomaskksj,0,242,0
数据达人养成计划,Han Hsiao,https://www.zhihu.com/lives/807224689071120384,2017-02-25 20:00:00,373,"我是 Han Hsiao，本科在 BJTU 学计算机工程，AUN Master 毕业选择了 Big Data 这条不归路。在澳洲的大数据初创企业写过 Python 分布式爬虫、搭过 Hadoop 平台；历经 IBM「蓝色之路」的考验后成为 IBMer in CDL「中国开发中心」的一员，投身 DB2 开发和大数据领域研究；几年后为了挑战自己，跳槽中国电信北研院进行大数据精准广告和客户存留研究，基于海量用户数据和业务需求提出数据应用逻辑模型，包括但不限于用户分群、客户行为、企业经营、深度分析等等；目前就职于国家电网全球能源互联网研究院，从事人工智能等方面的探索和创新工作，正在筹备申请 CMU 卡耐基梅隆大学博士。同时也是数据挖掘与数据分析的优秀回答者。

整个人生中你需要持续不断的学习，在一个知识爆炸的年代，大学里的学习已经不足以支撑你毕业后 10 年内的工作和生活。2030 年之前人类会实现强人工智能算法。——Richard S. Sutton（强化学习的创立者之一）一直在 Big Data 这条路上走着，慢慢对互联网从业者的数据职业生涯发展有深刻理解和体会。我希望这次的 Live 不是一个 90 分钟听完就完了的经验分享会，而能成为大家新的人生、职业规划起点。 根据私信咨询人数最多的问题，我设置了这样一个大致提纲，计划在前 60 分钟进行经验和资源分享，后 30 分钟进行问题解答，先行参与者也可以马上进行咨询，我会收集好问题一一进行解答。

本次 Live 主要包括以下内容：

＊ 人生第一步我为什么投身数据产业？

＊ 我最喜欢 DA&DM 工作的哪一点？最不喜欢哪一点？

＊ 什么样的数据科学家可以做到年薪百万？

＊ 成为这样的大牛需要什么样的学历和能力？ 

＊ 刚入职的新人对这份工作通常有哪些误解？

＊ 我从这个行业中所获得的核心技能是什么？

＊ 何时应该跳槽？如何计划跳槽？跳槽的技术要点是什么？

＊ 解答各种相关的问题（证书、实习、培训、深造）",19RMB,https://www.zhihu.com/people/hanhsiao,0,500,0
你需要知道的米开朗基罗和贝尼尼,Jun的碎碎念,https://www.zhihu.com/lives/812981446590476288,2017-02-23 20:00:00,80,"我是 Jun 小姐，法国里昂中央大学博士，常年旅居欧洲，几乎逛烂了全世界十大博物馆。穷游网百万阅读量帖子「去意大利一定要做的功课：文艺复兴」作者。

意大利之所以是意大利，不光是因为他适合「吃吃吃，买买买」，而是他坐拥着太多文艺复兴的瑰宝。如果不了解这个璀璨时期，就踏上旅途的话，未免太过遗憾。你可知道，米开朗基罗在「最后的审判」里，悄悄得加了一对同性接吻的场景？你又可知，贝尼尼在「Teresa 的沉迷」雕塑里，创造一个性高潮中的修女么？这些秘密，本次 Live 会为你一一解答。

本次 Live 主要包括以下内容：

＊ 米开朗基罗 & 贝尼尼的成名史私生活八卦大揭秘

＊ 教你如何看懂这两位的艺术作品

＊ 深扒名作中的隐藏奥秘

＊ 重点介绍他们在意大利境内的作品，尤其是存放在梵蒂冈博物馆、乌菲兹美术馆和博盖塞博物馆内的作品。",9RMB,https://www.zhihu.com/people/jun-71-83,0,72,0
关于娱乐法的那些故事,李振武,https://www.zhihu.com/lives/813013974365929472,2017-02-23 20:00:00,41,"我是李振武，现任上海香蕉计划文化发展有限公司法务总监，曾任上海市第二中级人民法院法官，毕业于北京大学法律硕士，出版了首本由法官撰写的娱乐法案件办案手册：《娱乐法诉讼案件审理实务》。2016 年，以泛娱乐业务为出发点，组织了上海市首场「泛娱乐行业法律论坛之电子竞技与直播篇」，陆续创办了「娱乐法李振武」及「香蕉计划法务部」公众号，所撰写的「未成年人演艺经纪合同如何签订」、「音乐平台授权书著作权比例的探讨」、「演艺经纪合同与劳动合同可以同时签订吗」等文章引起了不少娱乐法律人士的关注。

本次 Live 我将带来对娱乐行业相关法律问题的观察和体会，主要涵盖经纪合同、节目投资合同以及直播版权等问题。

本次 Live 主要包括以下内容：

＊ 演艺经纪合同的性质？

＊ 演艺经纪合同的单方解除？

＊ 综艺节目投资合同的条款设计？

＊ 直播节目版权的相关问题？

＊ 电影使用游戏画面的相关问题？

＊ 未成年人签订演艺经纪合同的效力以及条款设计？",19RMB,https://www.zhihu.com/people/medialawyer,0,32,0
魏晋诗歌基础,務酒者,https://www.zhihu.com/lives/815567632576167936,2017-02-23 20:00:00,19,"我是務酒者，古代文学爱好者，旧体诗创作者，现当代文学及文艺理论爱好者。

魏晋诗歌是五七言诗勃发的时期，也是南北朝诗歌规范化之先声，更是文学自觉的典范。了解魏晋诗歌，才能够更好地深入古代诗歌发展史。本次 Live 我将讲解大致的魏晋诗歌历史以及相关的重要作家作品。

本次 Live 主要包括以下内容：

＊ 魏晋时期诗歌的发展阶段与变化。

＊ 三曹在文学史上的成就与意义。

＊ 阮籍《咏怀》的复义性。

＊ 拟古诗、玄言诗的价值与文学史意义。

＊ 陶渊明的诗歌艺术。

＊ 以及其他魏晋诗歌的相关话题。",12RMB,https://www.zhihu.com/people/zhanglijiutu,0,26,0
iGEM 的理念、经验与技巧,张浩千,https://www.zhihu.com/lives/815883004168790016,2017-02-23 20:00:00,55,"我是张浩千，本科毕业于北京大学生命科学学院，博士期间师从欧阳颀老师于北京大学前沿交叉学科研究院从事合成生物学研究，研究方向为细菌转录调控线路的理性设计，前后在 Nature Communications 、 Cell Research 及 ACS Synthetic Biology 等国际学术期刊发表研究论文 13 篇；其中以第一作者或通讯作者身份发表研究论文 8 篇。此外，从本科阶段至今我带领北京大学参赛队在国际基因工程机器大赛（ iGEM ）中先后 8 次获得金奖并取得包括世界总决赛亚军在内的单项奖 11 项。在博士期间我参与创办了合成生物学技术公司 Bluepha ，现为 Bluepha 的首席技术官（ CTO ）。

国际基因工程机器大赛（International Genetically Engineered Machine Competition, iGEM）是合成生物学（Synthetic Biology）领域的国际性大学生最高级别学术竞赛。iGEM 希望参赛者从天然生物系统入手，构建标准化的生物元器件，进而对天然生物系统进行更高效、更可靠、以及更精准地改造，或者设计全新的人工生物系统。在过去的十年里在 iGEM 作为一种研究性教育（research-based education），因其高度的学生自主性和学术性在世界范围内广泛传播。国内高校参加 iGEM 已有十年历史，北京大学 iGEM 作为最早参赛的国内队伍之一，曾多次站在 iGEM 的最高领奖台上。本次 Live 我将重点介绍 iGEM 的理念、经验与技巧。

本次 Live 主要包括以下内容：

＊ iGEM 的核心理念是什么？

＊ 参加 iGEM 会做什么事情？

＊ 本科生、研究生参加 iGEM 能获得什么？

＊ iGEM 的选题与团队协作需要注意什么？

＊ iGEM 队伍的管理与运营有哪些需要注意的点？

＊ 在 iGEM 中获得好成绩的经验与心得有哪些？

＊ 2017 年 iGEM 的时间表与新动态是什么情况？

＊ 以及其他你关注的 iGEM 相关话题。",19RMB,https://www.zhihu.com/people/zhang-hao-qian,0,17,0
通过大卫 · 鲍伊，浅谈音乐行销,王硕,https://www.zhihu.com/lives/815947931491405824,2017-02-23 20:00:00,12,"我是媒体人王硕，曾在《周末画报》担任副主编，之后创办了一个名为「坏蛋调频」的 Podcast，曾在 2012 到 2015 年间拿到过数次「苹果中国最佳播客」。我 16 岁开始跟着唱片公司瞎混，后来便一直没有完全脱离过这个行业。

本次 Live 将涉及到两个话题：一个是格莱美刚刚致敬的大卫 · 鲍伊，一个是我观察了许多年的中国音乐圈。这次 Live 中我会把二者综合，从个人行销的角度聊聊大卫 · 鲍伊和中国摇滚乐。

本次 Live 主要包括以下内容：

＊ 如何像大卫 · 鲍伊一般「一天阅读 8 本书，让自己看起来像个有文化的音乐人」？

＊ 作为音乐人，怎样经营自己个人的微博微信？

＊ 以大卫 · 鲍伊为例，聊聊如何借助大 IP 走红？

＊ 怎样「抄袭」才是合理的「抄袭」？

＊ 为什么说「作为音乐人，音乐反倒不重要」？",9RMB,https://www.zhihu.com/people/surewonder,0,7,0
技术派律师演讲场景结构化技巧,罗艺,https://www.zhihu.com/lives/813012328772702208,2017-02-23 20:30:00,43,"我是罗艺，律师界最爱演讲的，演讲界最懂法律的技术派律师；国际演讲俱乐部资深会员；擅长演讲力沟通力、青年律师职业发展、时间管理和效率提升等方面的培训；在知乎的回答，被收录在《正义女神不睁眼》一书中。

本次 Live 我将为你分享技术派律师在不同演讲场景中的沟通技巧。在工作中，很多青年律师会有诸多职业困惑，比如在与当事人交流时如何运用演讲技巧1分钟抓住客户的心？在与法官沟通时如何短平快的表达己方观点，获得认同和支持？我将在此次 Live 中一次性进行为你解读，与你分享青年律师在不同场景中运用演讲技巧的干货。

本次 Live 主要包括以下内容：

＊ 演讲派律师的三大场景结构化。

＊ 技术派律师必备的三大演讲技巧。

＊ 演讲如何助力律师职场？

＊ 彩蛋：即兴演讲技巧分享。",9RMB,https://www.zhihu.com/people/luo-yi-99-22,0,14,0
跨境并购如何设计交易架构？,Zhang Leslie,https://www.zhihu.com/lives/814492410016075776,2017-02-23 20:30:00,9,"我是张伟华，跨境并购专家，Legal 500 亚太地区最佳公司律师之一、AIPN 中国区执委会成员，国务院国资委「海外并购法律专家」、北京外国语大学法学院客座教授。著有《海外并购交易全程实务指南与案例评析》、《并购大时代：资本的谋略与实战》

合著英文著作《Understanding the Joint Operating Agreements》、《Joint Operating Agreements：Challenges and Concerns from civil law jurisdictions》。

本次 Live 将对跨境收购中交易架构设计的考虑因素、跨境并购交易架构设计实例和跨境并购交易架构设计的风险做一讲解。

本次 Live 主要包括以下内容：

＊ 跨境并购交易中交易架构设计的考虑因素（商业目的、税务、融资、风险、处置、后续整合运营、审批条件、政治因素等）

＊ 跨境并购交易架构设计实例

＊ 跨境并购交易架构设计的风险

＊ 结语及讨论",199RMB,https://www.zhihu.com/people/Uncleleslie,0,18,0
自由职业者：一个人的创业,朱老板,https://www.zhihu.com/lives/813418594938544128,2017-02-23 20:45:00,165,"我是朱宏，人称朱老板。从事体验设计 14 年，现自由职业者，写体验报告和小说，差点成了崔健的顾问。我服务过微软（用户体验布道师）、 MINI （科技顾问）、淘宝（创建北京 UED 团队）、大街网、搜狐等多家公司，参与过 Windows 、 Xbox 、阿里旅行、搜狐奥运等重大项目。我和 Frog 、 eico 、唐硕、 ARK 和 Logic 等知名设计公司合作紧密，也为一些公司提供 HoloLens 顾问服务。去年我翻译了 Frog 创始人写的《极简设计》，他在 80 年代帮助乔布斯梳理了苹果的设计语言并设计了 Mac 。去年我帮崔健出谋划策设计了 iOS 应用，也和特斯拉 Model X 进行了数字营销方面的尝试。我的知乎专栏《中国式体验》一直在勤奋更新中。

不久前的拉勾网发布会上我作为主讲嘉宾聊到了《自由职业者的七条信仰》，很多人找到我，他们或一直有自由职业者的梦想，或被我忽悠了，总之就想马上裸辞投入到自由状态中，但是不知道怎么起步，也担心将来的生活保障。大把时间，想干活就干活，想睡觉就睡觉，没事成天绕着地球转，错峰上街错峰出游，不用给任何人汇报，不用加班熬夜也不用挨领导骂。我在知乎的几个回答中也提到了近两年来自由职业的生活状态，有让人羡慕的地方，也有一些设身处地才能懂的难处。我想只有充分评估过自我，才能下定决心并且一路走下去，也希望参与到本场 Live 的朋友能够学会充分认识自己，并且做出更适合自己的人生道路，活出更精彩的职业人生。

本次 Live 主要包括以下内容：

＊ 近两年我的自由职业状态总结

＊ 自由是一个人的创业

＊ 到底该不该选择自由职业

＊ 判断自己是不是适合做一名自由职业者

＊ 为将来可能会选择的自由职业储备资源

＊ 自由职业后需要面临的棘手问题

＊ 增加收入

＊ 选择什么样的渠道丰富生活

＊ 一些深刻建议",9RMB,https://www.zhihu.com/people/mlikeasong,0,188,0
年轻人的高效读书方法论,周昶帆,https://www.zhihu.com/lives/811996200403369984,2017-02-23 21:00:00,570,"我是周昶帆，有 13 年阅读史的书虫。曾在《第一财经周刊》、 36 氪等媒体工作过，做的就是信息输入与输出的记者工作。从爱好到工作，读书对我的帮助很大，我也在这个过程中总结出了一套完整的方法体系，而非一些零散问题的经验集合，在线上和线下已经与数百人分享，切实地帮助他们提高了读书的效率，提高了输出成果的质量。

这次知乎 Live ，我将讲讲高效读书的方法技巧。在此，高效并非来自于速读，而是更科学合理和符合人性以及认知规律的方法，注重阅读质量和转化成果，每个成年人在听完后都能掌握并且可以立即应用在实践中。

本次 Live 主要包括以下内容：

＊ 提高读书效率的根本出发点。

＊ 打破旧有的低效、错误的阅读习惯。

＊ 破解为了读书而读书的误区。

＊ 破解书读了很多，但是记不住、吸收不了的问题。

＊ 破解很多书看了一半就放弃，买了很多书但看不下去的纠结。

＊ 怎样用读书来构建自己的知识体系？",19RMB,https://www.zhihu.com/people/changfan,0,736,0
如何找到自己真正的优势？,张辉,https://www.zhihu.com/lives/815874340854857728,2017-02-23 21:00:00,232,"我是张辉，微信公众号「改变自己」的主创，「改变自己」是专注于「年轻人成长」领域的知名微信公众号，创办快四年以来，已经拥有超过 53 万订阅用户。每天的文章和每周的会员语音使众多年轻人受益。我非常喜欢思考，也热衷于分享。我是「平行世界」理念的践行者，我希望以自己的经历来告诉大家：人生的终极自由是人人可以争取的，只要你找对适合自己的方法。

我坚信人生之目的在于追寻自由，包括财务自由和精神自由，而追寻的手段则需要通过发现自己真正的优势，进而创造出独立于单一职业的「平行世界」而获得。什么才是自己的真正优势？怎样找到自己的真正优势？我希望在一小时的知乎 Live 中告诉你我的答案：会出乎你的意料，但会让你感觉到实实在在的力量，干货满满。

本次 Live 主要包括以下内容：

＊ 为什么你一定要找到自己人生的优势？

＊ 我自己找寻人生优势的经历（包括创建、运营「改变自己」的经历）

＊ 怎样定义「人生的真正优势」？

＊ 为什么我们需要换一种角度去看待「人生优势」这一问题？

＊ 有哪些方法会有助于你寻找自己的人生优势？",9RMB,https://www.zhihu.com/people/zhang-hui-71,0,53,0
从四大到 PE：转型的机遇与挑战,Julia,https://www.zhihu.com/lives/811225757534810112,2017-02-25 20:00:00,533,"我是 Julia ，我的职业生涯始于四大，做过审计，做过财务咨询，也做过 PE ，在工作了几年之后我选择去欧洲工商管理学院读 MBA ，目前在一家跨国医疗公司的国际管培生项目进行轮岗。



我是 Max ，是一名长跑爱好者。我和 Julia 是校友， CICPA ，毕业于某南方著名 985 高校。我的职业生涯和 Julia 读 MBA 之前的职业生涯极其相似，我毕业后加入德勤审计部，工作两年之后内部 transfer 至财务咨询部门（Financial Advisory Services），主要是服务于企业并购交易（M&A Transaction Services），我服务过的客户有 Blackstone ，招商局资本，德意志银行，麦格理银行和台湾富邦金控等。在德勤工作了三年半后，我选择加入国内某著名管理资产逾千亿的金融综合集团（一级+二级）担任投资经理（主要负责大消费领域的投资），开始了自己在 PE 机构的投资生涯，从而得以参与到一单交易「从 deal sourcing 到 close 」的全流程，收获良多。

从四大审计部到财务咨询部是我职业生涯的第一次转变，财务咨询部门的工作经历让我有机会接触到顶级的中外资 PE ，了解其所要求的职业技能和工作风格，同时也给我日后求职投资机构带来了更多面试机会。在 PE 求职及目前的投资工作中，我渐渐意识到：优秀的投资机构对候选人的期待不仅限于扎实的财务知识及分析能力，还有行业深度、商业逻辑乃至项目发掘的能力。这次 Live 中， Julia 和我将会和大家分享我们从四大审计部到财务咨询部门，再到 PE 的经历；财务咨询部的工作经历为我们进入 PE 带来的帮助； PE 要求哪些硬实力和软实力，平时应该怎么样去有意识地培养和训练； PE 内部的职能设置及工作流程具体是怎样的；四大人、财务人求职 PE 的优势和挑战是什么， PE 未来的职业发展路径都有哪些。

本次 Live 主要包括以下内容：

＊ 四大财务咨询部门的具体职能和工作内容都有哪些？

＊ 我的 PE 行业路线图：从四大审计部门到财务咨询部门，再到 PE 是一种怎样的工作体验？

＊ PE 要求哪些硬实力和软实力？平时应该怎么样去有意识地培养和训练？

＊ PE 机构内部的职能设置和工作流程是怎么样的？

＊ 四大人、财务人求职 PE 时的优势和挑战都有哪些？

＊ PE 未来的职业发展路径都有哪些？

＊ MBA 申请、求职相关问题答疑。",19RMB,https://www.zhihu.com/people/julia-7-73,0,329,0
阿拉伯游记文学中的亚洲千年史,男爵兔,https://www.zhihu.com/lives/812006858792534016,2017-02-25 20:00:00,38,"我是男爵兔，本科毕业于北京大学外国语学院阿拉伯语系，研究生毕业于北京大学外国语学院亚非语言文学系，主修专业为非洲文学。曾经在叙利亚进行了为期一年的交换，也在阿拉伯国家联盟和埃及驻华使馆先后打过黑工。是国内第一个从事阿拉伯和非洲文化比较研究的学生，曾经发表过多篇相关领域论文，撰写报纸非洲文化专栏，并出版多部英语及阿拉伯语翻译作品，如《埃米尔之书》《港口城市与入侵者》等。

本次 Live 我将从阿拉伯古代游记文学说起。提到环游世界的古人，更多的人会说出马可波罗、哥伦布、麦哲伦……但在他们之前，早有阿拉伯的行者出于各种目的踏上了未知的旅程。公元 500 年到 1500 年这千年中的亚洲是一块充满创造力的土地。宗教信仰、商业网络与知识分子的交流，将整个庞大的亚洲世界：从阿拉伯到中国的不同地区连成一气。而伊本 · 法德兰、伊本 · 希纳和伊本 · 白图泰等人就在自己的足迹里，为我们忠实地记录了那个时代的万千气象。

本次 Live 主要包括以下内容：

＊ 阿拉伯的游记著作有哪些？

＊ 怎样阅读游记文学？

＊ 伊本 · 法德兰、伊本 · 希纳和伊本 · 白图泰各自是谁？

＊ 阿拉伯游记中记载了怎样一个亚洲中世纪？

＊ 以及其他你关注的有关游记、亚洲中世纪历史。",9RMB,https://www.zhihu.com/people/nan-jue-tu,0,34,0
拯救月光族：小白理财第一课,多多老师,https://www.zhihu.com/lives/812330187516698624,2017-02-25 20:00:00,262,"我是多多老师，程序员， IT 培训老师，青年成长和理财教育者， 16 年互联网产品开发运营和投资理财经验，形成了自己一套稳健的理财风格，有一套科学的选择投资产品，并进行合理配置，控制风险和保障收益的投资方法。目前致力于为专门工薪青年，建立一套易于学习，可行性高的「清单理财法」，帮助青年搭建风险小的稳健理财体系。已成功在广州和成都举办了 200 场以上财商讲座，帮助超过 3000 青年提升理财意识。

你是月光族吗？工资存不下来，银行卡到月底从没超过 4 位数，永远辛苦的工作却永远没有钱。我们以为换了一份工作，工资涨了就好了，可发现根本没用。大多数月光族青年对理财都有很多误区，比如认为理财就是一夜暴富；认为自己根本没多少钱，没有必要理财； 理财必须投入很多精力，学也学不会。本次 Live 将引导青年理性看待金钱的重要性，树立正确的理财思维，选择合适自己的投资方法和策略，让理财真的变得可行。

本次 Live 主要包括以下内容：

＊ 财商自评。

＊ 为什么除了工作还需要理财？

＊ 计算财富人生，通过理财过上得体的生活,。

＊ 理财三要素：本金、时间、收益率分析。

＊ 市场上投资产品和渠道分析。

＊ 青年理财的合理预期。",9RMB,https://www.zhihu.com/people/wenhuacn,0,109,0
普通家庭如何环保的进行装修,maomaobear,https://www.zhihu.com/lives/815568465900498944,2017-02-25 20:00:00,23,"我是 maomaobear，腾讯、新浪专栏作者。

这一期想和大家聊聊环保装修的事情。多地多行业的原因，对建材装修材料有些了解，而更重要的是这些年理财买了 N 套房子，每套都要装修，从消费端积累了更多的经验。从知乎装修的话题看，注重设计的多，关注环保的少，而事实上因为现在中国国情往往是，买房装修结婚怀孕生宝宝是同步的，装修不环保对宝宝来说非常危险。所以，我先选这个题目。

本次 Live 主要包括以下内容：

＊ 家庭装修各个步骤如何产生污染？

＊ 环保的装修方案原则是什么？

＊ 如果选择装修材料才能最大化减少装修污染？

＊ 环保装修一定需要花大钱吗？",9RMB,https://www.zhihu.com/people/maomaobear,0,55,0
?? 怎么写好一个字的钩、折？,Daniel FC,https://www.zhihu.com/lives/794535152956084224,2017-02-25 20:30:00,716,"我是 Daniel FC 。书法艺术工作者，作品曾获国家级奖项。



之前的横、竖、撇、捺练习，已经帮助大家学会如何为一个字搭建出骨架了；接下来，让我们一起来 upgrade 整个字的气场吧！写好一个字的钩、折笔，能让整个字都清朗俊逸，神采飞扬。这次 Live ，除了会把笔画书写的要领讲解清楚，我还会针对单字进行分析，尽量帮大家理清这个笔画在字当中的位置结构关系。内容大丰富，可能会拖堂。

本次 Live 主要包括以下内容：

＊ 竖钩、弯钩的写法

＊ 竖提、横钩的写法

＊ 横折、横折钩的写法及其变体

＊ 折笔书写动作要领归纳，兼论竖折、撇折等。",29RMB,https://www.zhihu.com/people/daniel-fc,0,172,0
「智齿」，我该拿你怎么办？,Dr.Yan,https://www.zhihu.com/lives/808992438302695424,2017-02-25 20:30:00,39,"我是 Dr.Yan，华西口腔学士，北大口腔博士在读，在当今中国最顶尖医院的经历，让我积累了丰富的临床经验。发表过几篇论文，也曾在 Cochrane 中心经受过循证医学（Evidence-Based Medicine）的严格培训。关注过我回答的知友一定看到了我对专业问题的回答证据详实，又不失易读性。同时我也是知乎的认证回答者。

有几个牙齿非常特别，俗称「智齿」或「尽头牙」，大多数人都会有，在专业上叫「第三磨牙」，而处理「智齿」的各种问题也是临床中是再平常不过的工作，但与其相关的各种传言屡见不鲜，到底要不要拔除智齿更是无数人纠结的问题，本次 Live 我将针对「智齿」相关的常见问题做一次全面讲解。

本次 Live 主要包括以下内容：

＊「智齿」和智商有关吗？

＊ 拔了「智齿」能瘦脸吗？

＊ 哪些「智齿」必须要拔除？

＊ 哪些「智齿」不需要拔除甚至应该保留？

＊ 拔除智齿的过程是什么样的，会很痛吗？

＊ 拔「智齿」的常见风险和并发症是什么？

＊ 拔完「智齿」后有哪些需要注意的？",19RMB,https://www.zhihu.com/people/Orthoyan,0,129,0
合理营养，让健身事半功倍,kmlover,https://www.zhihu.com/lives/815564245075914752,2017-02-25 20:30:00,29,"我是 kmlover，20 年前开始健身，12 年前开始在大斌健美论坛翻译国外关于健身运动的文章，并在积累了足够的知识和实践经验后开始发表原创文章。2015 年起入驻知乎，主要回答与健身相关的问题。

本次 Live 主要讲解如何根据自身实际情况和健身运动内容来搭配适宜的饮食营养，从而获得更好的健身效果，也会介绍一些不起眼的营养 tips。

本次 Live 主要包括以下内容：

＊ 制定营养策略的基本原则。

＊ 「围训练期」的营养摄入应该注意哪些方面？

＊ 「围训练期」之外的营养摄入应该注意哪些方面？

＊ 一些不引人注意但又比较重要的营养 tips。",29RMB,https://www.zhihu.com/people/kmlover,0,29,0
自动驾驶如何影响房地产与商业？,Li Carly,https://www.zhihu.com/lives/805179901832499200,2017-02-25 21:00:00,51,"我是李晨， MBA ， CFA （ Carly Li ，卡莉莉）， 85 后，现居中国和美国两地。商业地产开发投资人，职业发展畅销书作家。美国地产论坛 2015 年「商业地产界新兴领袖」(唯一亚裔女性获奖者)， 2016 年被评选为美国密西根大底特律地区「 20 位杰出青年」， 2016 年美国密西根州亚太商会「杰出贡献奖」获得者，国际购物中心协会（ ICSC ）会员。著有时间管理畅销书《给你 1 天 72 小时》， 理财类畅销书《理财趁年轻：那些学校没教过的理财投资课》。 University of Michigan 经济学/统计学学士， University of MichiganRoss 商学院工商管理硕士。曾任美国密西根大学上海交大校友会会长、密西根州交大校友会董事。

当下，无人 / 自动驾驶车技术成为了各大汽车公司，科技公司和资本市场的热点。无人驾驶车技术的成熟和应用，共享顺风车滴滴， Uber 的进一步发展，对于我们的生活方式以及现有的房地产和商业模式或许将会出现颠覆性的影响。

本次 Live 主要包括以下内容：

＊ 自动驾驶车的现状与发展

＊ 自动驾驶车和共享顺风车对生活方式的影响

＊ 自动驾驶车如何影响房地产的投资和估值

＊ 不同地域下房地产的影响

＊ 不同房地产种类的影响：公寓住宅、办公楼、购物中心和酒店。

＊ 赢家和输家",19RMB,https://www.zhihu.com/people/li-carly,0,77,0
